(0, 640)
(1, 641)
(1, 649)
(2, 641)
(2, 642)
(3, 643)
(4, 643)
(4, 644)
(4, 652)
(5, 645)
(6, 645)
(6, 646)
(6, 654)
(7, 647)
(7, 655)
(8, 647)
(8, 648)
(9, 649)
(9, 650)
(10, 642)
(10, 650)
(11, 643)
(11, 651)
(11, 652)
(12, 652)
(13, 645)
(13, 653)
(13, 654)
(14, 654)
(15, 655)
(15, 656)
(16, 648)
(16, 656)
(17, 657)
(17, 658)
(17, 665)
(18, 658)
(18, 666)
(19, 659)
(19, 660)
(20, 660)
(20, 668)
(21, 661)
(21, 662)
(22, 662)
(22, 670)
(23, 663)
(23, 664)
(24, 664)
(25, 665)
(26, 665)
(26, 666)
(27, 659)
(27, 667)
(28, 667)
(28, 668)
(29, 661)
(29, 669)
(30, 669)
(30, 670)
(31, 663)
(31, 671)
(32, 664)
(32, 671)
(32, 672)
(33, 673)
(33, 674)
(33, 681)
(34, 674)
(34, 682)
(35, 675)
(35, 676)
(36, 676)
(36, 684)
(37, 677)
(37, 678)
(38, 678)
(38, 686)
(39, 679)
(39, 680)
(40, 680)
(41, 681)
(42, 681)
(42, 682)
(43, 683)
(43, 684)
(44, 683)
(44, 684)
(45, 677)
(45, 685)
(46, 685)
(46, 686)
(47, 679)
(47, 687)
(48, 680)
(48, 687)
(48, 688)
(49, 689)
(49, 690)
(49, 697)
(50, 690)
(50, 698)
(51, 691)
(51, 692)
(52, 692)
(52, 700)
(53, 693)
(53, 694)
(54, 694)
(54, 702)
(55, 695)
(55, 696)
(56, 696)
(57, 697)
(57, 698)
(58, 698)
(59, 691)
(59, 699)
(59, 700)
(60, 700)
(61, 693)
(61, 701)
(61, 702)
(62, 702)
(63, 695)
(63, 703)
(63, 704)
(64, 696)
(64, 704)
(65, 713)
(66, 705)
(68, 707)
(68, 716)
(70, 709)
(70, 718)
(71, 719)
(72, 711)
(73, 714)
(74, 706)
(75, 707)
(75, 716)
(77, 709)
(77, 718)
(79, 720)
(80, 712)
(81, 722)
(81, 729)
(82, 730)
(83, 724)
(84, 732)
(85, 726)
(86, 734)
(87, 728)
(90, 729)
(91, 723)
(92, 731)
(93, 725)
(94, 733)
(95, 727)
(96, 728)
(96, 735)
(97, 738)
(97, 745)
(98, 746)
(99, 740)
(100, 748)
(101, 742)
(102, 750)
(103, 744)
(106, 745)
(107, 748)
(108, 747)
(109, 741)
(110, 749)
(111, 743)
(112, 744)
(112, 751)
(113, 754)
(113, 761)
(114, 762)
(115, 756)
(116, 764)
(117, 758)
(118, 766)
(119, 760)
(121, 762)
(123, 755)
(123, 764)
(125, 757)
(125, 766)
(127, 759)
(127, 768)
(128, 760)
(129, 777)
(130, 769)
(132, 771)
(132, 780)
(134, 773)
(134, 782)
(135, 783)
(136, 775)
(137, 778)
(138, 770)
(139, 771)
(139, 780)
(141, 773)
(141, 782)
(143, 784)
(144, 776)
(145, 786)
(145, 793)
(146, 794)
(147, 788)
(148, 796)
(149, 790)
(150, 798)
(151, 792)
(154, 793)
(155, 787)
(156, 795)
(157, 789)
(158, 797)
(159, 791)
(160, 792)
(160, 799)
(161, 802)
(161, 809)
(162, 810)
(163, 804)
(164, 812)
(165, 806)
(166, 814)
(167, 808)
(170, 809)
(171, 812)
(172, 811)
(173, 805)
(174, 813)
(175, 807)
(176, 808)
(176, 815)
(177, 818)
(177, 825)
(178, 826)
(179, 820)
(180, 828)
(181, 822)
(182, 830)
(183, 824)
(185, 826)
(187, 819)
(187, 828)
(189, 821)
(189, 830)
(191, 823)
(191, 832)
(192, 824)
(193, 841)
(194, 833)
(196, 835)
(196, 844)
(198, 837)
(198, 846)
(199, 847)
(200, 839)
(201, 842)
(202, 834)
(203, 835)
(203, 844)
(205, 837)
(205, 846)
(207, 848)
(208, 840)
(209, 850)
(209, 857)
(210, 858)
(211, 852)
(212, 860)
(213, 854)
(214, 862)
(215, 856)
(218, 857)
(219, 851)
(220, 859)
(221, 853)
(222, 861)
(223, 855)
(224, 856)
(224, 863)
(225, 866)
(225, 873)
(226, 874)
(227, 868)
(228, 876)
(229, 870)
(230, 878)
(231, 872)
(234, 873)
(235, 876)
(236, 875)
(237, 869)
(238, 877)
(239, 871)
(240, 872)
(240, 879)
(241, 882)
(241, 889)
(242, 890)
(243, 884)
(244, 892)
(245, 886)
(246, 894)
(247, 888)
(249, 890)
(251, 883)
(251, 892)
(253, 885)
(253, 894)
(255, 887)
(255, 896)
(256, 888)
(257, 905)
(258, 897)
(260, 899)
(260, 908)
(262, 901)
(262, 910)
(263, 911)
(264, 903)
(265, 906)
(266, 898)
(267, 899)
(267, 908)
(269, 901)
